id,code,short_name,short_name_spelling,full_name,list_status_id,list_status,issuer,company_code,issue_start_date,issue_end_date,plan_raise_fund,actual_raise_fund,issue_par,issue_price,is_guarantee,fund_raising_purposes,list_declare_date,convert_price_reason,convert_price,convert_start_date,convert_end_date,convert_code,coupon,exchange_code,exchange,currency_id,coupon_type_id,coupon_type,coupon_frequency,payment_type_id,payment_type,par,repayment_period,bond_type_id,bond_type,bond_form_id,bond_form,list_date,delist_Date,interest_begin_date,maturity_date,interest_date,last_cash_date,cash_comment
1,125301,丝绸转债,SCZZ,吴江丝绸股份有限公司可转换公司债券,301006,终止上市,江苏东方盛虹股份有限公司,000301.XSHE,1998-08-28,1998-09-03,20000.0,20000.0,100,100.0,1,"1、强捻重磅抗皱真丝绸技改项目
2、真丝乔其绒织造及印染后整理技改项目
3、改性型复合花色合股丝技改项目
4、多功能新奇纺生产线技改项目
5、偿还部分以前年度技改项目贷款",1998-09-14,初始转股价确定为本公司将来公开发行人民币普通股（即A股）时发行价的一定比例的折扣,4.1,2000-05-29,2003-08-27,000301,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,1998-09-15,2003-08-28,1998-08-28,2003-08-28,08-28,2003-08-28,
2,125302,茂炼转债,MLZZ,中国石化茂名炼油化工股份有限公司可转换公司债券,301006,终止上市,中国石化茂名炼油化工股份有限公司,,1999-07-28,1999-08-03,150000.0,150000.0,100,100.0,1,用于投资加工进口含硫原油配套工程中的渣油加氢脱硫装置和柴油加氢精制装置。,1999-08-17,初始转股价格为本公司将来首次公开发行人民币普通股（即A股）的发行价格的一定折扣。,,,,,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,1999-08-17,2004-07-28,1999-07-28,2004-07-28,07-28,2004-07-28,
3,125898,鞍钢转债,AGZZ,鞍钢新轧可转换企业债券,301006,终止上市,鞍钢股份有限公司,000898.XSHE,2000-03-14,2000-03-22,150000.0,150000.0,100,100.0,1,,2000-04-17,"本期债券发行前一个月(2月7日至3月7日)鞍钢新轧A股收盘价的算术平均值3.11元为基准,上浮6.11％",3.3,2000-09-14,2005-03-13,000898,,705002,深交所主板,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2000-04-17,2005-03-14,2000-03-15,2005-03-15,03-15,2005-03-15,
5,123035,利德转债,LDZZ,利亚德光电股份有限公司公开发行可转换公司债券,301001,正常上市,利亚德光电股份有限公司,300296.XSHE,2019-11-14,2019-11-14,80000.0,80000.0,100,100.0,0,"LED应用产业南方总部项目,补充流动资金,利亚德（西安）智能研发中心项目,LED应用产业园建设项目",,,7.04,2020-05-20,2025-11-13,300296,,705002,深交所主板,人民币,701003,递进利率,12,702002,按年付息,100.0,72,703013,可转债,704001,记账式,2019-12-09,2025-11-14,2019-11-14,2025-11-14,11-14,2025-11-14,
6,100001,南化转债,NHZZ,南宁化工股份有限公司可转换公司债券,301006,终止上市,南宁化工股份有限公司,600301.XSHG,1998-08-03,1998-08-03,15000.0,15000.0,100,100.0,1,"1、烧碱由年产5万吨扩建至年产8万吨技改项目
2、双加”工程,强氯精（三氯异氰尿酸）由5,000吨/年扩建至10,000吨/年项目
3、年产2,000吨AC发泡剂技改项目
4、偿还1998年度到期长期借款6,900万元",1998-09-01,初始转股价确定为本公司将来公开发行人民币普通股（即A股）时发行价的一定比例的折扣,4.56,2000-07-12,2003-08-02,600301,,705001,上交所,人民币,701003,递进利率,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,1998-09-02,2001-05-28,1998-08-03,2001-05-25,08-03,2001-05-25,
7,100009,机场转债,JCZZ,上海国际机场股份有限公司可转换公司债券,301006,终止上市,上海国际机场股份有限公司,600009.XSHG,2000-02-25,2000-03-08,135000.0,135000.0,100,100.0,1,购买上海浦东国际机场候机楼及相关资产,2000-03-11,"以发行可转换公司债券前1个月股票的平均价格为基准,上浮一定幅度作为转股价格",10.0,2000-08-25,2005-02-24,600009,,705001,上交所,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2000-03-16,2004-05-14,2000-02-25,2004-04-23,02-25,2004-04-23,
8,100220,阳光转债,YGZZ,江苏阳光股份有限公司可转换公司债券,301006,终止上市,江苏阳光股份有限公司,600220.XSHG,2002-04-18,2002-04-18,83000.0,83000.0,100,100.0,1,,2002-05-16,"本次发行的阳光转债初始转股价格以公布募集说明书之日前30个交易日公司A股股票的平均收盘价格为基础,上浮一定幅度作为初始转股价格",9.13,2003-04-18,2005-04-18,600220,,705001,上交所,人民币,701002,固定利率附息,12,702002,按年付息,100.0,36,703013,可转债,704001,记账式,2002-05-16,2005-04-25,2002-04-18,2005-04-18,04-18,2005-04-18,
9,125002,万科转债,WKZZ,万科企业股份有限公司可转换债券,301006,终止上市,万科企业股份有限公司,000002.XSHE,2002-06-13,2002-06-13,150000.0,150000.0,100,100.0,1,,2002-06-26,"以公布募集说明书前三十个交易日“万科A”股股票平均收盘价格11.86元为基准,上浮2%。",11.9,2002-12-13,2007-06-12,000002,,705002,深交所主板,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2002-06-28,2004-04-30,2002-06-13,2004-04-23,06-13,2004-04-23,
10,100087,水运转债,SYZZ,南京水运实业股份有限公司可转换公司债券,301006,终止上市,招商局南京油运股份有限公司,601975.XSHG,2002-08-13,2002-08-13,32000.0,32000.0,100,100.0,1,,2002-08-28,"转股价格的确定应以公布募集说明书摘要前30个交易日公司股票的平均收盘价格为基础,并上浮一定幅度。",11.69,2003-08-13,2007-08-12,600087,,705001,上交所,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2002-08-28,2007-04-11,2002-08-13,2007-03-29,08-13,2007-03-29,
11,126301,丝绸转2,SCZ2,吴江丝绸股份有限公司可转换公司债券,301006,终止上市,江苏东方盛虹股份有限公司,000301.XSHE,2002-09-09,2002-09-09,80000.0,80000.0,100,100.0,0,,2002-09-20,"丝绸转2的初始转股价格为8.78元,以此次《吴江丝绸股份有限公司发行可转换公司债券募集说明书》公告日前30个交易日公司A股股票二级市场平均收盘价格8.527元为基础,上浮3%。",7.03,2003-03-09,2007-09-09,000301,,705002,深交所主板,人民币,701002,固定利率附息,12,702002,按年付息,100.0,60,703013,可转债,704001,记账式,2002-09-24,2006-09-18,2002-09-09,2006-09-11,09-09,2006-09-11,
