交易日期,交易日期,成交额,涨跌幅,指数,5日均线,20日均线,30日均线,60日均线,仓位控制_5,仓位控制_20,仓位控制_30,仓位控制_60
2017/12/29,2017/12/29,10.58,0,1000,1000,1000,1000,1000,1,1,1,1
2018/1/2,2018/1/2,13.94,0.88,1008.83,1004.42,1004.42,1004.42,1004.42,1,1,1,1
2018/1/3,2018/1/3,15.96,0.99,1018.81,1009.21,1009.21,1009.21,1009.21,1,1,1,1
2018/1/4,2018/1/4,15.49,0.54,1024.34,1012.99,1012.99,1012.99,1012.99,1,1,1,1
2018/1/5,2018/1/5,19.97,1.01,1034.65,1017.33,1017.33,1017.33,1017.33,1,1,1,1
2018/1/8,2018/1/8,20.51,0.1,1035.64,1024.45,1020.38,1020.38,1020.38,1,1,1,1
2018/1/9,2018/1/9,12.01,-0.55,1029.98,1028.68,1021.75,1021.75,1021.75,1,1,1,1
2018/1/10,2018/1/10,17.64,-0.44,1025.42,1030.01,1022.21,1022.21,1022.21,1,0,1,1
2018/1/11,2018/1/11,14.4,0.12,1026.64,1030.47,1022.7,1022.7,1022.7,1,0,1,1
2018/1/12,2018/1/12,12.9,-0.08,1025.85,1028.71,1023.02,1023.02,1023.02,1,0,1,1
2018/1/15,2018/1/15,22.62,-1.18,1013.79,1024.34,1022.18,1022.18,1022.18,0,0,0,0
2018/1/16,2018/1/16,15.83,0.21,1015.89,1021.52,1021.65,1021.65,1021.65,0,0,0,0
2018/1/17,2018/1/17,24.3,-0.03,1015.57,1019.55,1021.19,1021.19,1021.19,0,0,0,0
2018/1/18,2018/1/18,22.43,0.65,1022.12,1018.64,1021.25,1021.25,1021.25,1,1,1,1
2018/1/19,2018/1/19,28.81,0.55,1027.75,1019.02,1021.69,1021.69,1021.69,1,1,1,1
2018/1/22,2018/1/22,32.23,1.14,1039.47,1024.16,1022.8,1022.8,1022.8,1,1,1,1
2018/1/23,2018/1/23,46.13,0.54,1045.08,1030,1024.11,1024.11,1024.11,1,1,1,1
2018/1/24,2018/1/24,43.48,0.97,1055.25,1037.93,1025.84,1025.84,1025.84,1,1,1,1
2018/1/25,2018/1/25,38.99,0.65,1062.06,1045.92,1027.74,1027.74,1027.74,1,1,1,1
2018/1/26,2018/1/26,31.23,-0.18,1060.13,1052.4,1029.36,1029.36,1029.36,1,1,1,1
2018/1/29,2018/1/29,33.07,-1.91,1039.89,1052.48,1031.36,1029.86,1029.86,1,0,1,1
2018/1/30,2018/1/30,29.94,-0.43,1035.41,1050.55,1032.69,1030.12,1030.12,1,0,1,1
2018/1/31,2018/1/31,26.31,-0.51,1030.12,1045.52,1033.25,1030.12,1030.12,0,0,1,1
2018/2/1,2018/2/1,36.81,-1.23,1017.48,1036.61,1032.91,1029.59,1029.59,0,0,0,0
2018/2/2,2018/2/2,23.09,0.63,1023.9,1029.36,1032.37,1029.36,1029.36,0,0,0,0
2018/2/5,2018/2/5,30.41,0.41,1028.08,1027,1031.99,1029.31,1029.31,0,1,0,0
2018/2/6,2018/2/6,31.95,-1.39,1013.82,1022.68,1031.19,1028.74,1028.74,0,0,0,0
2018/2/7,2018/2/7,42.26,-0.04,1013.46,1019.35,1030.59,1028.19,1028.19,0,0,0,0
2018/2/8,2018/2/8,37.47,-0.06,1012.84,1018.42,1029.9,1027.66,1027.66,0,0,0,0
2018/2/9,2018/2/9,51.08,-2.14,991.14,1011.87,1028.16,1026.45,1026.45,0,0,0,0
2018/2/12,2018/2/12,23.43,1.82,1009.22,1008.1,1027.93,1026.75,1025.89,0,1,0,0
2018/2/13,2018/2/13,29.56,0.68,1016.05,1008.54,1027.94,1026.99,1025.58,0,1,0,0
2018/2/14,2018/2/14,9.35,0.26,1018.71,1009.59,1028.1,1026.99,1025.38,0,1,0,0
2018/2/22,2018/2/22,20.78,0.8,1026.9,1012.4,1028.34,1027.08,1025.42,0,1,0,1
2018/2/23,2018/2/23,18.2,-0.09,1025.98,1019.37,1028.25,1026.79,1025.44,0,1,0,1
2018/2/26,2018/2/26,27.03,1.09,1037.18,1024.96,1028.14,1026.84,1025.76,1,1,1,1
2018/2/27,2018/2/27,24.67,-0.25,1034.57,1028.67,1027.61,1026.99,1026,1,1,1,1
