交易日期,成交额,涨跌幅,指数,平均价格,中位数价格,中位数转股价值,双低均值,平均溢价率,中位数溢价率,平均收益率,剩余规模,换手率,数量,涨跌值,双低中位数,5日均线,20日均线,30日均线,60日均线,仓位控制_5,仓位控制_20,仓位控制_30,仓位控制_60
2017-12-29,10.58,0.0,1000.0,103.96,104.11,89.77,126.75,22.79,11.68,1.48,853.79,1.24,36,0.0,115.79,1000.0,1000.0,1000.0,1000.0,1,1,1,1
2018-01-02,13.94,0.88,1008.83,104.91,104.8,90.72,126.96,22.05,11.31,1.31,690.6,2.02,36,8.83,116.11,1004.42,1004.42,1004.42,1004.42,1,1,1,1
2018-01-03,15.96,0.99,1018.81,105.9,105.21,94.95,127.43,21.52,11.32,1.12,691.25,2.31,37,9.98,116.53,1009.21,1009.21,1009.21,1009.21,1,1,1,1
2018-01-04,15.49,0.54,1024.34,106.3,104.66,93.27,127.74,21.45,11.22,1.04,700.44,2.21,38,5.54,115.88,1012.99,1012.99,1012.99,1012.99,1,1,1,1
2018-01-05,19.97,1.01,1034.65,107.34,107.0,94.26,129.61,22.27,11.93,0.81,700.44,2.85,38,10.31,118.93,1017.33,1017.33,1017.33,1017.33,1,1,1,1
2018-01-08,20.51,0.1,1035.64,107.67,107.81,95.82,129.83,22.16,12.54,0.74,698.6,2.94,37,0.99,120.35,1024.45,1020.38,1020.38,1020.38,1,1,1,1
2018-01-09,12.01,-0.55,1029.98,107.07,106.37,95.54,128.74,21.67,12.27,0.85,698.6,1.72,37,-5.67,118.64,1028.68,1021.75,1021.75,1021.75,1,1,1,1
2018-01-10,17.64,-0.44,1025.42,106.52,105.75,94.1,128.34,21.83,11.94,0.95,717.32,2.46,38,-4.56,117.69,1030.01,1022.21,1022.21,1022.21,1,0,1,1
2018-01-11,14.4,0.12,1026.64,106.63,106.08,94.52,127.72,21.09,11.61,0.94,717.32,2.01,38,1.22,117.69,1030.47,1022.7,1022.7,1022.7,1,0,1,1
2018-01-12,12.9,-0.08,1025.85,106.54,105.84,94.23,128.5,21.96,12.11,0.96,717.32,1.8,38,-0.79,117.95,1028.71,1023.02,1023.02,1023.02,1,0,1,1
2018-01-15,22.62,-1.18,1013.79,105.42,104.14,92.9,129.1,23.68,14.78,1.16,717.43,3.15,39,-12.06,118.92,1024.34,1022.18,1022.18,1022.18,0,0,0,0
2018-01-16,15.83,0.21,1015.89,105.39,103.72,93.92,127.48,22.09,14.45,1.12,756.97,2.09,41,2.1,118.17,1021.52,1021.65,1021.65,1021.65,0,0,0,0
2018-01-17,24.3,-0.03,1015.57,105.8,104.18,93.99,127.63,21.83,13.52,1.04,768.95,3.16,42,-0.32,117.7,1019.55,1021.19,1021.19,1021.19,0,0,0,0
2018-01-18,22.43,0.65,1022.12,106.3,104.35,95.6,128.37,22.07,13.58,0.96,806.12,2.78,43,6.55,117.93,1018.64,1021.25,1021.25,1021.25,1,1,1,1
2018-01-19,28.81,0.55,1027.75,106.91,104.51,93.7,129.57,22.66,15.11,0.86,806.12,3.57,43,5.63,119.62,1019.02,1021.69,1021.69,1021.69,1,1,1,1
2018-01-22,32.23,1.14,1039.47,108.01,105.74,93.97,130.52,22.5,14.7,0.65,815.4,3.95,44,11.72,120.44,1024.16,1022.8,1022.8,1022.8,1,1,1,1
2018-01-23,46.13,0.54,1045.08,108.59,106.27,94.57,131.15,22.56,15.5,0.54,815.83,5.65,45,5.62,121.77,1030.0,1024.11,1024.11,1024.11,1,1,1,1
2018-01-24,43.48,0.97,1055.25,109.63,106.71,95.38,132.09,22.46,15.69,0.35,815.83,5.33,45,10.17,122.4,1037.93,1025.84,1025.84,1025.84,1,1,1,1
2018-01-25,38.99,0.65,1062.06,110.33,107.32,96.85,133.18,22.85,15.33,0.23,815.83,4.78,45,6.81,122.65,1045.92,1027.74,1027.74,1027.74,1,1,1,1
2018-01-26,31.23,-0.18,1060.13,110.0,106.19,93.23,132.47,22.47,15.94,0.27,825.83,3.78,46,-1.93,122.13,1052.4,1029.36,1029.36,1029.36,1,1,1,1
2018-01-29,33.07,-1.91,1039.89,107.95,104.97,92.4,129.62,21.67,14.75,0.65,837.21,3.95,48,-20.24,119.72,1052.48,1031.36,1029.86,1029.86,1,0,1,1
2018-01-30,29.94,-0.43,1035.41,107.67,105.5,92.73,127.83,20.17,13.78,0.7,848.72,3.53,51,-4.48,119.28,1050.55,1032.69,1030.12,1030.12,1,0,1,1
2018-01-31,26.31,-0.51,1030.12,107.15,105.14,90.19,128.46,21.31,13.98,0.79,848.79,3.1,52,-5.29,119.12,1045.52,1033.25,1030.12,1030.12,0,0,1,1
2018-02-01,36.81,-1.23,1017.48,105.81,103.85,87.29,130.67,24.86,17.8,1.04,848.79,4.34,52,-12.64,121.65,1036.61,1032.91,1029.59,1029.59,0,0,0,0
2018-02-02,23.09,0.63,1023.9,106.47,103.76,86.77,132.03,25.55,19.64,0.93,848.79,2.72,52,6.43,123.4,1029.36,1032.37,1029.36,1029.36,0,0,0,0
2018-02-05,30.41,0.41,1028.08,106.98,103.63,86.08,133.01,26.04,18.8,0.84,848.79,3.58,52,4.18,122.43,1027.0,1031.99,1029.31,1029.31,0,1,0,0
2018-02-06,31.95,-1.39,1013.82,105.43,102.08,82.41,136.04,30.61,24.47,1.12,848.79,3.76,52,-14.27,126.55,1022.68,1031.19,1028.74,1028.74,0,0,0,0
2018-02-07,42.26,-0.04,1013.46,105.42,102.0,83.79,134.79,29.38,22.07,1.12,848.94,4.98,53,-0.36,124.07,1019.35,1030.59,1028.19,1028.19,0,0,0,0
2018-02-08,37.47,-0.06,1012.84,105.31,102.39,84.71,133.44,28.12,20.81,1.13,848.94,4.41,53,-0.62,123.2,1018.42,1029.9,1027.66,1027.66,0,0,0,0
2018-02-09,51.08,-2.14,991.14,102.92,101.98,82.74,134.05,31.13,23.14,1.57,848.94,6.02,53,-21.7,125.12,1011.87,1028.16,1026.45,1026.45,0,0,0,0
2018-02-12,23.43,1.82,1009.22,104.84,103.91,85.1,133.88,29.04,20.52,1.23,848.94,2.76,53,18.08,124.43,1008.1,1027.93,1026.75,1025.89,0,1,0,0
2018-02-13,29.56,0.68,1016.05,105.6,103.92,86.73,134.56,28.96,20.22,1.09,848.94,3.48,53,6.84,124.14,1008.54,1027.94,1026.99,1025.58,0,1,0,0
2018-02-14,9.35,0.26,1018.71,105.89,104.2,89.36,134.74,28.85,20.84,1.04,848.94,1.1,53,2.65,125.04,1009.59,1028.1,1026.99,1025.38,0,1,0,0
2018-02-22,20.78,0.8,1026.9,106.64,104.43,87.0,133.82,27.19,18.55,0.91,866.53,2.4,54,8.19,122.98,1012.4,1028.34,1027.08,1025.42,0,1,0,1
2018-02-23,18.2,-0.09,1025.98,106.53,104.11,87.29,133.18,26.65,18.32,0.93,866.53,2.1,54,-0.92,122.43,1019.37,1028.25,1026.79,1025.44,0,1,0,1
2018-02-26,27.03,1.09,1037.18,107.72,105.72,90.51,132.44,24.71,15.75,0.72,866.53,3.12,54,11.2,121.47,1024.96,1028.14,1026.84,1025.76,1,1,1,1
2018-02-27,24.67,-0.25,1034.57,107.43,105.84,91.29,131.8,24.37,15.29,0.77,866.53,2.85,54,-2.6,121.13,1028.67,1027.61,1026.99,1026.0,1,1,1,1
2018-02-28,20.31,-0.23,1032.15,107.16,105.77,92.02,131.23,24.07,15.3,0.82,866.53,2.34,54,-2.42,121.07,1031.36,1026.45,1027.22,1026.16,1,1,1,1
2018-03-01,21.04,0.36,1035.83,107.37,106.03,93.22,130.29,22.92,14.2,0.79,863.48,2.44,53,3.67,120.23,1033.14,1025.14,1027.52,1026.41,1,1,1,1
2018-03-02,18.43,-0.57,1029.88,106.69,105.61,92.86,130.03,23.34,15.17,0.9,863.48,2.13,53,-5.95,120.78,1033.92,1023.63,1027.66,1026.5,1,0,1,1
2018-03-05,15.95,-0.06,1029.26,106.62,105.25,93.91,129.04,22.42,14.27,0.92,863.48,1.85,53,-0.62,119.52,1032.34,1023.1,1028.17,1026.56,1,0,1,1
2018-03-06,23.96,0.28,1032.12,107.12,105.72,93.92,128.64,21.52,12.98,0.81,886.48,2.7,54,2.86,118.7,1031.85,1022.93,1028.71,1026.7,1,1,1,1
2018-03-07,18.34,-0.17,1030.38,106.92,106.0,95.05,128.91,21.99,12.91,0.85,886.48,2.07,54,-1.73,118.91,1031.49,1022.95,1029.21,1026.78,1,0,1,1
2018-03-08,13.9,0.1,1031.4,107.03,105.83,95.31,128.7,21.67,13.38,0.82,886.48,1.57,54,1.02,119.21,1030.61,1023.64,1029.52,1026.89,1,1,1,1
2018-03-09,19.61,0.49,1036.5,107.58,105.88,96.23,127.87,20.29,12.79,0.73,886.48,2.21,54,5.1,118.67,1031.93,1024.27,1029.81,1027.1,1,1,1,1
2018-03-12,25.32,1.08,1047.74,108.76,107.06,96.84,128.32,19.56,11.46,0.52,886.48,2.86,54,11.24,118.52,1035.63,1025.26,1030.08,1027.55,1,1,1,1
2018-03-13,19.74,-0.03,1047.39,108.68,107.24,96.19,128.89,20.21,11.98,0.54,886.48,2.23,54,-0.35,119.22,1038.68,1026.94,1030.16,1027.97,1,1,1,1
2018-03-14,18.59,-0.48,1042.31,108.13,106.69,94.89,128.89,20.77,12.79,0.63,886.48,2.1,54,-5.07,119.48,1041.07,1028.38,1029.73,1028.27,1,1,1,1
2018-03-15,15.89,-0.15,1040.76,107.79,106.7,95.59,128.59,20.8,12.28,0.69,916.47,1.73,55,-1.56,118.98,1042.94,1029.77,1029.02,1028.53,1,0,1,1
2018-03-16,17.25,-0.01,1040.65,107.76,105.82,94.92,129.08,21.32,13.94,0.69,916.47,1.88,55,-0.11,119.76,1043.77,1032.25,1028.37,1028.77,1,0,1,1
2018-03-19,15.37,0.1,1041.73,107.88,106.6,95.4,129.03,21.15,14.31,0.67,916.47,1.68,55,1.09,120.91,1042.57,1033.87,1028.43,1029.02,1,0,1,1
2018-03-20,13.97,-0.13,1040.36,107.97,105.76,95.46,128.76,20.79,13.1,0.67,916.53,1.52,56,-1.38,118.86,1041.16,1035.09,1028.6,1029.24,1,0,1,1
2018-03-21,18.08,-0.12,1039.06,107.8,106.0,95.07,129.43,21.63,12.62,0.69,916.53,1.97,56,-1.3,118.62,1040.51,1036.11,1028.9,1029.43,1,0,1,1
2018-03-22,14.12,-0.19,1037.09,107.58,106.13,94.91,128.96,21.38,12.8,0.73,916.53,1.54,56,-1.97,118.93,1039.78,1036.62,1029.55,1029.57,1,0,1,1
2018-03-23,33.36,-1.61,1020.4,105.75,104.78,90.48,131.52,25.78,17.78,1.07,936.53,3.56,57,-16.69,122.56,1035.73,1036.34,1029.43,1029.4,0,0,0,0
2018-03-26,20.55,0.63,1026.86,106.5,105.16,90.84,130.65,24.14,14.77,0.94,943.44,2.18,58,6.45,119.93,1032.75,1035.82,1029.39,1029.36,0,0,0,0
2018-03-27,21.63,0.82,1035.32,107.41,106.03,93.1,129.5,22.09,13.8,0.79,943.44,2.29,58,8.47,119.83,1031.75,1035.86,1030.11,1029.46,0,1,1,1
2018-03-28,16.96,-0.29,1032.32,106.96,105.4,94.2,129.07,22.11,14.49,0.86,950.94,1.78,59,-3.0,119.89,1030.4,1035.87,1030.74,1029.51,0,1,1,1
2018-03-29,17.97,0.09,1033.2,107.06,105.2,94.79,128.31,21.25,12.33,0.85,950.94,1.89,59,0.88,117.53,1029.62,1035.74,1031.42,1029.57,0,1,1,1
2018-03-30,19.18,0.75,1040.94,107.92,105.8,94.66,128.26,20.34,12.03,0.7,950.94,2.02,59,7.75,117.83,1033.73,1036.29,1033.08,1029.76,1,1,1,1
2018-04-02,19.26,0.66,1047.86,108.67,105.8,95.76,129.12,20.44,13.08,0.58,950.94,2.03,59,6.91,118.88,1037.93,1037.22,1034.36,1030.56,1,1,1,1
2018-04-03,14.23,-0.17,1046.1,108.46,105.73,95.39,129.74,21.28,14.35,0.62,943.59,1.51,59,-1.76,120.08,1040.08,1037.92,1035.37,1031.18,1,1,1,1
2018-04-04,14.51,-0.02,1045.89,108.39,105.47,95.49,131.09,22.7,15.59,0.62,943.59,1.54,59,-0.21,121.06,1042.8,1038.69,1036.27,1031.63,1,1,1,1
2018-04-09,13.38,0.12,1047.1,108.52,105.99,94.58,131.13,22.61,14.84,0.59,943.59,1.42,59,1.21,120.83,1045.58,1039.48,1036.94,1032.01,1,1,1,1
2018-04-10,15.4,-0.09,1046.15,108.32,105.72,93.62,130.7,22.38,13.86,0.62,952.41,1.62,60,-0.95,119.58,1046.62,1039.96,1037.62,1032.2,1,0,1,1
2018-04-11,17.5,0.2,1048.3,108.76,105.99,94.06,130.5,21.74,13.82,0.56,957.21,1.83,61,2.15,119.81,1046.71,1039.99,1037.99,1032.41,1,1,1,1
2018-04-12,14.57,-0.3,1045.13,108.38,106.14,93.21,130.6,22.22,13.62,0.62,1007.2,1.45,62,-3.17,119.76,1046.51,1039.88,1038.34,1032.67,1,0,1,1
2018-04-13,13.04,-0.27,1042.32,108.08,105.83,92.91,130.27,22.18,13.61,0.67,1007.2,1.29,62,-2.8,119.44,1045.8,1039.88,1038.68,1032.95,1,0,1,1
2018-04-16,17.72,-0.33,1038.94,107.76,105.21,92.59,130.26,22.5,15.21,0.74,1007.2,1.76,62,-3.39,120.42,1044.17,1039.79,1038.78,1033.15,0,0,1,1
2018-04-17,20.33,-0.49,1033.84,107.17,104.81,90.19,131.68,24.51,18.01,0.84,1007.2,2.02,62,-5.1,122.82,1041.71,1039.45,1038.91,1033.29,0,0,0,1
2018-04-18,21.51,0.56,1039.58,107.86,105.17,90.77,131.62,23.77,17.29,0.74,1007.2,2.14,62,5.75,122.46,1039.96,1039.34,1039.26,1033.72,1,0,1,1
2018-04-19,17.58,0.22,1041.9,108.09,106.0,90.59,131.91,23.82,16.16,0.69,1007.2,1.75,62,2.31,122.16,1039.32,1039.41,1039.58,1034.15,1,1,1,1
2018-04-20,12.89,-0.68,1034.85,107.16,104.23,88.72,132.56,25.4,18.09,0.86,1009.01,1.28,63,-7.05,122.32,1037.82,1039.2,1039.73,1034.47,0,0,0,1
2018-04-23,15.08,-1.36,1020.78,105.64,103.87,88.91,130.45,24.81,18.89,1.15,1009.01,1.49,63,-14.07,122.76,1034.19,1038.39,1039.38,1034.45,0,0,0,0
2018-04-24,20.94,1.23,1033.35,107.04,104.59,90.81,129.94,22.9,16.66,0.92,1009.01,2.07,63,12.57,121.25,1034.09,1039.04,1039.27,1034.54,0,0,0,0
2018-04-25,14.06,-0.04,1032.89,107.03,105.03,90.28,130.0,22.97,17.69,0.93,1009.01,1.39,63,-0.46,122.72,1032.75,1039.34,1038.78,1034.43,0,1,0,0
2018-04-26,12.87,-0.63,1026.34,106.13,103.2,88.09,130.34,24.21,17.1,1.09,1015.04,1.27,64,-6.55,120.3,1029.64,1038.89,1038.08,1034.12,0,0,0,0
2018-04-27,13.96,0.15,1027.93,106.32,103.5,88.78,130.75,24.43,16.54,1.06,1015.04,1.38,64,1.59,120.04,1028.26,1038.67,1037.6,1033.66,0,0,0,0
2018-05-02,10.1,-0.22,1025.71,106.1,103.23,89.54,130.14,24.04,17.46,1.11,1015.04,0.99,64,-2.23,120.69,1029.24,1038.29,1037.1,1033.06,0,0,0,0
2018-05-03,16.34,0.48,1030.65,106.6,103.84,90.99,129.34,22.74,14.52,1.02,1015.04,1.61,64,4.95,118.36,1028.7,1037.78,1036.76,1032.57,0,1,0,0
2018-05-04,13.79,0.35,1034.31,106.94,104.38,90.94,130.71,23.77,17.18,0.97,1008.04,1.37,63,3.65,121.56,1028.99,1037.1,1036.52,1032.47,0,1,0,1
2018-05-07,19.09,1.07,1045.43,108.2,104.85,93.04,130.49,22.3,15.95,0.77,1008.04,1.89,63,11.12,120.8,1032.81,1037.07,1036.68,1032.64,1,1,1,1
2018-05-08,21.85,0.47,1050.33,108.59,105.0,92.66,130.05,21.46,14.7,0.71,1008.46,2.17,64,4.9,119.7,1037.29,1037.29,1037.06,1032.98,1,1,1,1
2018-05-09,14.29,-0.04,1049.85,108.61,104.81,92.22,129.85,21.25,14.83,0.72,1008.46,1.42,64,-0.47,119.64,1042.11,1037.43,1037.49,1033.52,1,1,1,1
2018-05-10,15.44,0.21,1052.1,108.74,104.78,92.75,129.72,20.98,15.57,0.72,1010.31,1.53,65,2.25,120.35,1046.4,1037.73,1038.54,1033.99,1,1,1,1
2018-05-11,13.37,-0.43,1047.54,108.23,104.62,92.28,129.6,21.38,15.91,0.81,1010.31,1.32,65,-4.56,120.53,1049.05,1037.69,1039.23,1034.31,1,0,1,1
2018-05-14,15.38,-0.42,1043.18,107.66,104.47,91.79,129.12,21.46,15.16,0.89,1034.38,1.49,66,-4.36,119.63,1048.6,1037.59,1039.49,1034.8,1,0,1,1
2018-05-15,15.43,0.49,1048.26,108.39,104.64,92.75,128.4,20.01,13.53,0.77,1037.55,1.49,68,5.08,118.17,1048.19,1037.89,1040.02,1035.38,1,1,1,1
2018-05-16,14.11,-0.29,1045.22,108.02,104.73,91.31,128.45,20.43,14.29,0.82,1037.55,1.36,68,-3.04,119.02,1047.26,1038.2,1040.43,1035.92,1,0,1,1
2018-05-17,17.47,-0.1,1044.15,107.71,104.82,91.92,128.14,20.43,14.38,0.86,1059.07,1.65,69,-1.07,119.2,1045.67,1038.72,1040.53,1036.8,1,0,1,1
2018-05-18,15.32,0.17,1045.89,107.92,104.69,92.01,127.94,20.01,14.49,0.84,1059.07,1.45,69,1.75,119.18,1045.34,1039.03,1040.47,1037.42,1,1,1,1
2018-05-21,25.31,0.41,1050.23,108.57,105.36,94.13,127.1,18.53,12.86,0.74,1057.6,2.39,68,4.34,118.22,1046.75,1039.45,1040.6,1037.98,1,1,1,1
2018-05-22,17.86,0.19,1052.27,108.86,105.25,93.61,127.05,18.19,11.17,0.71,1057.6,1.69,68,2.04,116.42,1047.55,1040.32,1040.82,1038.54,1,1,1,1
2018-05-23,18.88,-0.65,1045.48,108.13,105.1,92.42,127.2,19.07,11.77,0.84,1057.6,1.79,68,-6.79,116.87,1047.6,1041.56,1040.76,1038.85,1,0,1,1
2018-05-24,17.71,-0.24,1042.98,107.89,104.67,92.6,127.2,19.31,12.97,0.9,1057.6,1.67,68,-2.49,117.64,1047.37,1042.04,1040.66,1039.14,1,0,1,1
2018-05-25,14.66,-0.79,1034.78,107.15,104.15,91.26,127.08,19.93,13.76,1.04,1047.2,1.4,67,-8.21,117.91,1045.15,1042.13,1040.21,1039.1,0,0,0,0
2018-05-28,15.18,-0.5,1029.65,106.79,103.76,92.84,126.58,19.78,13.94,1.12,1049.27,1.45,67,-5.13,117.7,1041.03,1042.3,1039.69,1039.02,0,0,0,0
2018-05-29,17.52,-0.93,1020.11,105.65,103.42,92.02,125.82,20.18,13.94,1.31,1049.27,1.67,67,-9.54,117.36,1034.6,1041.91,1038.95,1038.81,0,0,0,0
2018-05-30,19.27,-1.41,1005.71,104.15,101.77,86.89,127.0,22.85,14.99,1.6,1049.27,1.84,67,-14.39,116.76,1026.65,1040.91,1037.84,1038.31,0,0,0,0
2018-05-31,14.22,0.43,1010.04,104.67,102.22,88.59,126.19,21.52,14.36,1.52,1049.27,1.36,67,4.33,116.58,1020.06,1039.88,1037.05,1037.98,0,0,0,0
2018-06-01,12.78,-0.38,1006.25,104.17,102.0,88.84,126.06,21.89,15.02,1.6,1049.27,1.22,67,-3.79,117.02,1014.35,1038.47,1035.94,1037.6,0,0,0,0
2018-06-04,19.87,-0.87,997.49,103.22,101.04,87.49,124.37,21.15,13.67,1.8,1050.74,1.89,68,-8.75,114.71,1007.92,1036.08,1034.46,1037.02,0,0,0,0
2018-06-05,17.81,0.99,1007.34,104.32,101.64,89.99,124.29,19.96,12.99,1.61,1050.74,1.7,68,9.85,114.63,1005.37,1033.93,1033.54,1036.64,0,1,0,0
2018-06-06,14.2,0.43,1011.7,104.88,102.07,90.14,124.48,19.6,12.63,1.5,1006.06,1.41,67,4.36,114.7,1006.56,1032.02,1033.24,1036.31,0,1,0,0
2018-06-07,13.93,0.26,1014.33,105.15,102.2,91.73,125.79,20.64,14.2,1.45,1006.06,1.38,67,2.63,116.4,1007.42,1030.13,1032.6,1035.94,0,1,0,0
2018-06-08,12.06,-0.54,1008.89,104.61,101.51,89.68,126.2,21.59,15.41,1.56,1006.06,1.2,67,-5.44,116.92,1007.95,1028.2,1031.8,1035.29,0,1,0,0
2018-06-11,13.38,-0.1,1007.87,104.42,101.0,88.05,126.86,22.44,15.7,1.58,1006.06,1.33,67,-1.02,116.7,1010.03,1026.43,1031.19,1034.63,0,0,0,0
2018-06-12,13.86,0.42,1012.06,104.9,101.1,88.07,126.66,21.76,15.39,1.5,1006.06,1.38,67,4.19,116.49,1010.97,1024.62,1030.66,1034.13,0,1,0,0
2018-06-13,10.28,-0.41,1007.89,104.54,101.39,86.64,127.85,23.31,15.29,1.56,1013.06,1.01,68,-4.17,116.68,1010.21,1022.76,1030.07,1033.58,0,0,0,0
2018-06-14,8.79,-0.43,1003.56,104.07,100.39,85.59,127.53,23.47,15.56,1.65,1013.06,0.87,68,-4.33,115.95,1008.05,1020.73,1029.16,1032.96,0,0,0,0
2018-06-15,10.64,-1.11,992.46,102.72,99.86,84.13,128.07,25.35,16.03,1.87,1013.06,1.05,68,-11.1,115.89,1004.77,1018.05,1027.77,1032.14,0,0,0,0
