交易日,当日收益率,累计收益率,指数累计,控仓收益_20,控仓累计_20,控仓收益_5,控仓累计_5
2019-05-06,0.0,0.0,0.76,0.0,0.0,0.0,0.0
2019-05-07,0.8,0.8,-2.5199999999999996,0.0,0.0,0.0,0.0
2019-05-08,0.0,0.8,-1.9399999999999995,0.0,0.0,0.0,0.0
2019-05-09,0.15,0.95,-1.5299999999999996,0.0,0.0,0.0,0.0
2019-05-10,0.4,1.35,-1.4899999999999995,0.0,0.0,0.0,0.0
2019-05-13,0.0,1.35,0.39000000000000035,0.0,0.0,0.0,0.0
2019-05-14,0.8,2.15,-0.07999999999999963,0.8,0.8,0.0,0.0
2019-05-15,0.0,2.15,0.12000000000000038,0.0,0.8,0.0,0.0
2019-05-16,0.0,2.15,1.3900000000000003,0.0,0.8,0.0,0.0
2019-05-17,-0.17,1.98,1.6100000000000003,-0.17,0.63,-0.0,0.0
2019-05-20,0.0,1.98,0.050000000000000266,0.0,0.63,0.0,0.0
2019-05-21,-0.01,1.97,-0.6099999999999998,-0.0,0.63,-0.0,0.0
2019-05-22,0.0,1.97,0.010000000000000231,0.0,0.63,0.0,0.0
2019-05-23,0.0,1.97,-0.04999999999999977,0.0,0.63,0.0,0.0
2019-05-24,0.0,1.97,-0.8999999999999997,0.0,0.63,0.0,0.0
2019-05-27,0.0,1.97,-1.0699999999999996,0.0,0.63,0.0,0.0
2019-05-28,0.0,1.97,-0.6099999999999997,0.0,0.63,0.0,0.0
2019-05-29,0.0,1.97,-0.46999999999999964,0.0,0.63,0.0,0.0
2019-05-30,0.0,1.97,-0.4399999999999996,0.0,0.63,0.0,0.0
2019-05-31,0.0,1.97,-1.0399999999999996,0.0,0.63,0.0,0.0
2019-06-03,0.0,1.97,-1.1999999999999995,0.0,0.63,0.0,0.0
2019-06-04,-0.53,1.44,-2.0199999999999996,-0.0,0.63,-0.0,0.0
2019-06-05,0.4,1.84,-2.9199999999999995,0.0,0.63,0.0,0.0
2019-06-06,0.0,1.84,-3.0099999999999993,0.0,0.63,0.0,0.0
2019-06-10,0.0,1.84,-3.9199999999999995,0.0,0.63,0.0,0.0
2019-06-11,0.0,1.84,-3.4199999999999995,0.0,0.63,0.0,0.0
2019-06-12,0.0,1.84,-1.6499999999999995,0.0,0.63,0.0,0.0
2019-06-13,0.3,2.14,-1.9899999999999995,0.3,0.9299999999999999,0.0,0.0
2019-06-14,0.0,2.14,-1.9499999999999995,0.0,0.9299999999999999,0.0,0.0
2019-06-17,0.0,2.14,-2.6699999999999995,0.0,0.9299999999999999,0.0,0.0
2019-06-18,0.0,2.14,-2.8499999999999996,0.0,0.9299999999999999,0.0,0.0
2019-06-19,0.4,2.54,-2.9099999999999997,0.0,0.9299999999999999,0.0,0.0
2019-06-20,0.0,2.54,-2.2699999999999996,0.0,0.9299999999999999,0.0,0.0
2019-06-21,0.0,2.54,-1.1099999999999997,0.0,0.9299999999999999,0.0,0.0
2019-06-24,0.0,2.54,-0.12999999999999967,0.0,0.9299999999999999,0.0,0.0
2019-06-25,0.0,2.54,-0.18999999999999967,0.0,0.9299999999999999,0.0,0.0
2019-06-26,0.0,2.54,-0.6599999999999997,0.0,0.9299999999999999,0.0,0.0
2019-06-27,0.0,2.54,-0.3399999999999997,0.0,0.9299999999999999,0.0,0.0
2019-06-28,0.0,2.54,0.2600000000000003,0.0,0.9299999999999999,0.0,0.0
2019-07-01,0.0,2.54,0.2500000000000003,0.0,0.9299999999999999,0.0,0.0
2019-07-02,0.0,2.54,1.8100000000000003,0.0,0.9299999999999999,0.0,0.0
2019-07-03,0.28,2.82,1.7700000000000002,0.28,1.21,0.28,0.28
2019-07-04,0.0,2.82,1.37,0.0,1.21,0.0,0.28
2019-07-05,-0.15,2.67,1.35,-0.15,1.06,-0.15,0.13000000000000003
2019-07-08,-0.4,2.27,1.31,-0.0,1.06,-0.4,-0.27
2019-07-09,-0.01,2.26,0.15000000000000013,-0.0,1.06,-0.01,-0.28
2019-07-10,0.4,2.66,0.09000000000000014,0.0,1.06,0.4,0.12
2019-07-11,0.54,3.2,-0.16999999999999987,0.0,1.06,0.54,0.66
2019-07-12,0.0,3.2,-0.17999999999999988,0.0,1.06,0.0,0.66
2019-07-15,0.0,3.2,0.01000000000000012,0.0,1.06,0.0,0.66
2019-07-16,0.0,3.2,0.20000000000000012,0.0,1.06,0.0,0.66
2019-07-17,0.0,3.2,0.30000000000000016,0.0,1.06,0.0,0.66
2019-07-18,0.01,3.21,0.5400000000000001,0.01,1.07,0.01,0.67
2019-07-19,0.0,3.21,-0.039999999999999813,0.0,1.07,0.0,0.67
2019-07-22,0.0,3.21,0.14000000000000018,0.0,1.07,0.0,0.67
2019-07-23,0.0,3.21,-0.6599999999999999,0.0,1.07,0.0,0.67
2019-07-24,0.0,3.21,-0.42999999999999994,0.0,1.07,0.0,0.67
2019-07-25,0.0,3.21,-0.10999999999999993,0.0,1.07,0.0,0.67
2019-07-26,0.0,3.21,0.3500000000000001,0.0,1.07,0.0,0.67
2019-07-29,0.0,3.21,0.8200000000000001,0.0,1.07,0.0,0.67
2019-07-30,0.0,3.21,1.03,0.0,1.07,0.0,0.67
2019-07-31,0.0,3.21,1.5,0.0,1.07,0.0,0.67
2019-08-01,0.0,3.21,1.6,0.0,1.07,0.0,0.67
2019-08-02,-0.4,2.81,1.3900000000000001,-0.4,0.67,-0.4,0.27
2019-08-05,0.0,2.81,0.9900000000000001,0.0,0.67,0.0,0.27
2019-08-06,0.0,2.81,0.42000000000000015,0.0,0.67,0.0,0.27
2019-08-07,0.0,2.81,-0.34999999999999987,0.0,0.67,0.0,0.27
2019-08-08,0.0,2.81,0.07000000000000012,0.0,0.67,0.0,0.27
2019-08-09,0.0,2.81,0.3300000000000001,0.0,0.67,0.0,0.27
2019-08-12,0.86,3.67,0.23000000000000012,0.86,1.53,0.0,0.27
2019-08-13,0.0,3.67,0.6800000000000002,0.0,1.53,0.0,0.27
2019-08-14,0.0,3.67,0.6400000000000001,0.0,1.53,0.0,0.27
2019-08-15,-0.4,3.27,0.8100000000000002,-0.4,1.13,-0.4,-0.13
2019-08-16,0.0,3.27,0.9600000000000002,0.0,1.13,0.0,-0.13
2019-08-19,0.0,3.27,1.4100000000000001,0.0,1.13,0.0,-0.13
2019-08-20,0.0,3.27,2.7,0.0,1.13,0.0,-0.13
