交易日,当日收益率,累计收益率,指数累计,控仓收益_20,控仓累计_20,控仓收益_5,控仓累计_5
2019-05-06,0.0,0.0,-3.28,0.0,0.0,0.0,0.0
2019-05-07,0.8,0.8,-2.7,0.0,0.0,0.0,0.0
2019-05-08,0.0,0.8,-2.29,0.0,0.0,0.0,0.0
2019-05-09,0.15,0.95,-2.25,0.0,0.0,0.0,0.0
2019-05-10,0.4,1.35,-0.37,0.4,0.4,0.0,0.0
2019-05-13,0.0,1.35,-0.84,0.0,0.4,0.0,0.0
2019-05-14,0.8,2.15,-0.64,0.8,1.2000000000000002,0.0,0.0
2019-05-15,0.0,2.15,0.63,0.0,1.2000000000000002,0.0,0.0
2019-05-16,0.0,2.15,0.85,0.0,1.2000000000000002,0.0,0.0
2019-05-17,-0.17,1.98,-0.71,-0.0,1.2000000000000002,-0.0,0.0
2019-05-20,0.0,1.98,-1.37,0.0,1.2000000000000002,0.0,0.0
2019-05-21,-0.01,1.97,-0.75,-0.0,1.2000000000000002,-0.0,0.0
2019-05-22,0.0,1.97,-0.81,0.0,1.2000000000000002,0.0,0.0
2019-05-23,0.0,1.97,-1.66,0.0,1.2000000000000002,0.0,0.0
2019-05-24,0.0,1.97,-1.83,0.0,1.2000000000000002,0.0,0.0
2019-05-27,0.0,1.97,-1.37,0.0,1.2000000000000002,0.0,0.0
2019-05-28,0.0,1.97,-1.23,0.0,1.2000000000000002,0.0,0.0
2019-05-29,0.0,1.97,-1.2,0.0,1.2000000000000002,0.0,0.0
2019-05-30,0.0,1.97,-1.8,0.0,1.2000000000000002,0.0,0.0
2019-05-31,0.0,1.97,-1.96,0.0,1.2000000000000002,0.0,0.0
2019-06-03,0.0,1.97,-2.78,0.0,1.2000000000000002,0.0,0.0
2019-06-04,-0.53,1.44,-3.68,-0.0,1.2000000000000002,-0.0,0.0
2019-06-05,0.4,1.84,-3.77,0.0,1.2000000000000002,0.0,0.0
2019-06-06,0.0,1.84,-4.68,0.0,1.2000000000000002,0.0,0.0
2019-06-10,0.0,1.84,-4.18,0.0,1.2000000000000002,0.0,0.0
2019-06-11,0.0,1.84,-2.41,0.0,1.2000000000000002,0.0,0.0
2019-06-12,0.0,1.84,-2.75,0.0,1.2000000000000002,0.0,0.0
2019-06-13,0.3,2.14,-2.71,0.3,1.5000000000000002,0.0,0.0
2019-06-14,0.0,2.14,-3.43,0.0,1.5000000000000002,0.0,0.0
2019-06-17,0.0,2.14,-3.61,0.0,1.5000000000000002,0.0,0.0
2019-06-18,0.0,2.14,-3.67,0.0,1.5000000000000002,0.0,0.0
2019-06-19,0.4,2.54,-3.03,0.4,1.9000000000000004,0.0,0.0
2019-06-20,0.0,2.54,-1.87,0.0,1.9000000000000004,0.0,0.0
2019-06-21,0.0,2.54,-0.89,0.0,1.9000000000000004,0.0,0.0
2019-06-24,0.0,2.54,-0.95,0.0,1.9000000000000004,0.0,0.0
2019-06-25,0.0,2.54,-1.42,0.0,1.9000000000000004,0.0,0.0
2019-06-26,0.0,2.54,-1.1,0.0,1.9000000000000004,0.0,0.0
2019-06-27,0.0,2.54,-0.5,0.0,1.9000000000000004,0.0,0.0
2019-06-28,0.0,2.54,-0.51,0.0,1.9000000000000004,0.0,0.0
2019-07-01,0.0,2.54,1.05,0.0,1.9000000000000004,0.0,0.0
2019-07-02,0.0,2.54,1.01,0.0,1.9000000000000004,0.0,0.0
2019-07-03,0.28,2.82,0.61,0.28,2.1800000000000006,0.28,0.28
2019-07-04,0.0,2.82,0.59,0.0,2.1800000000000006,0.0,0.28
2019-07-05,-0.15,2.67,0.55,-0.0,2.1800000000000006,-0.15,0.13000000000000003
2019-07-08,-0.4,2.27,-0.61,-0.0,2.1800000000000006,-0.4,-0.27
2019-07-09,-0.01,2.26,-0.67,-0.0,2.1800000000000006,-0.01,-0.28
