交易日,当日收益率,收益累计,指数累计,仓位控制_20,控仓收益_20,控仓累计_20
2020/11/2,0.78,0.78,0.85,1,0.78,0.78
2020/11/3,0.3,1.08,-0.69,1,0.3,1.08
2020/11/4,0.06,1.14,-0.93,1,0.06,1.14
2020/11/5,0.3,1.44,-0.6,1,0.3,1.44
2020/11/12,0.8,2.24,-0.18,1,0.8,2.24
2020/11/18,1.5,3.74,0.18,1,1.5,3.74
2020/11/19,-0.12,3.62,0.06,1,-0.12,3.62
2020/11/20,0.64,4.26,-0.22,1,0.64,4.26
2020/11/23,0.3,4.56,-0.01,1,0.3,4.56
2020/11/27,-0.11,4.45,0.21,1,-0.11,4.45
2020/11/30,0.42,4.87,-0.12,1,0.42,4.87
2020/12/1,0.4,5.27,-0.11,1,0.4,5.27
2020/12/4,0.18,5.45,-0.04,1,0.18,5.45
2020/12/9,0.9,6.35,0.11,1,0.9,6.35
2020/12/10,0.41,6.76,-0.19,1,0.41,6.76
2020/12/11,-0.12,6.64,-0.07,1,-0.12,6.64
2020/12/14,0.06,6.7,-1.35,1,0.06,6.7
2020/12/15,0.06,6.76,-1.4,1,0.06,6.76
2020/12/16,-0.91,5.85,-2.17,1,-0.91,5.85
2020/12/17,0.04,5.89,-2.84,1,0.04,5.89
2020/12/18,0,5.89,-2.3,1,0,5.89
2020/12/23,0,5.89,-0.24,1,0,5.89
2020/12/24,0,5.89,-0.36,1,0,5.89
2020/12/25,1.2,7.09,-3.06,1,1.2,7.09
2020/12/28,-0.55,6.54,-2.48,1,-0.55,6.54
2020/12/29,0.37,6.91,-2.99,1,0.37,6.91
2020/12/30,1.5,8.41,-3.04,1,1.5,8.41
2020/12/31,0,8.41,-0.9,1,0,8.41
2021/1/4,0.11,8.52,0.11,1,0.11,8.52
2021/1/5,0,8.52,1.68,1,0,8.52
2021/1/6,-0.08,8.44,2.39,1,-0.08,8.44
2021/1/7,-0.24,8.2,2.04,1,-0.24,8.2
2021/1/8,0.06,8.26,-0.06,1,0.06,8.26
2021/1/11,-1.34,6.92,-0.58,1,-1.34,6.92
2021/1/12,0.35,7.27,-1.2,1,0.35,7.27
2021/1/13,-0.42,6.85,-0.8,1,-0.42,6.85
2021/1/14,-0.19,6.66,-1.85,1,-0.19,6.66
2021/1/15,-0.22,6.44,-1.55,1,-0.22,6.44
2021/1/18,0.56,7,0.15,1,0.56,7
2021/1/19,0,7,1.06,1,0,7
2021/1/20,1.21,8.21,1.05,1,1.21,8.21
2021/1/21,0.57,8.78,1.23,1,0.57,8.78
2021/1/22,-0.76,8.02,1.7,1,-0.76,8.02
2021/1/25,0.01,8.03,1.43,1,0.01,8.03
2021/1/26,-0.66,7.37,-0.13,1,-0.66,7.37
2021/1/27,-0.01,7.36,-1.04,1,-0.01,7.36
2021/1/28,-0.84,6.52,-2.18,1,-0.84,6.52
2021/1/29,0.6,7.12,-3.44,1,0.6,7.12
2021/2/1,0.09,7.21,-5.58,1,0.09,7.21
2021/2/2,0.3,7.51,-5.37,1,0.3,7.51
2021/2/3,-0.19,7.32,-5.11,1,-0.19,7.32
2021/2/4,-0.42,6.9,-5.86,1,-0.42,6.9
2021/2/5,0.78,7.68,-7.64,1,0.78,7.68
2021/2/8,1.1,8.78,-9.25,1,1.1,8.78
2021/2/9,0.41,9.19,-9.16,1,0.41,9.19
2021/2/10,0,9.19,-6.12,1,0,9.19
2021/2/18,0,9.19,-5.36,1,0,9.19
2021/2/19,-0.12,9.07,-3.99,1,-0.12,9.07
2021/2/22,0,9.07,-2.48,1,0,9.07
2021/2/23,0,9.07,-1.26,1,0,9.07
2021/2/24,-0.96,8.11,-1.96,1,-0.96,8.11
2021/2/25,-0.26,7.85,-3.91,1,-0.26,7.85
2021/2/26,-0.66,7.19,-4.54,1,-0.66,7.19
2021/3/1,1.12,8.31,-4.79,1,1.12,8.31
2021/3/2,0,8.31,-2.39,1,0,8.31
2021/3/3,0.6,8.91,-2.42,1,0.6,8.91
2021/3/4,0.3,9.21,-1.46,1,0.3,9.21
2021/3/5,0.35,9.56,-2.17,1,0.35,9.56
2021/3/8,-0.66,8.9,-1.84,1,-0.66,8.9
2021/3/9,0.06,8.96,-3.54,1,0.06,8.96
2021/3/10,-0.38,8.58,-4.02,1,-0.38,8.58
2021/3/11,0.38,8.96,-1.88,1,0.38,8.96
2021/3/12,0,8.96,-1.08,1,0,8.96
2021/3/15,-0.02,8.94,-0.77,1,-0.02,8.94
2021/3/16,0.78,9.72,-0.53,1,0.78,9.72
2021/3/17,0.18,9.9,-0.23,1,0.18,9.9
2021/3/18,0.68,10.58,0.03,1,0.68,10.58
2021/3/19,0.49,11.07,-0.02,1,0.49,11.07
2021/3/22,0.48,11.55,-1.43,1,0.48,11.55
2021/3/23,0,11.55,0.65,1,0,11.55
2021/3/24,1.13,12.68,-1.08,1,1.13,12.68
2021/3/25,-0.04,12.64,-2.12,1,-0.04,12.64
2021/3/26,0.79,13.43,-2.43,1,0.79,13.43
2021/3/29,0.3,13.73,-1.72,1,0.3,13.73
2021/3/30,-1.92,11.81,-0.2,1,-1.92,11.81
2021/3/31,-0.3,11.51,-0.49,1,-0.3,11.51
2021/4/1,0.02,11.53,-1.87,1,0.02,11.53
2021/4/2,0.77,12.3,-1.74,1,0.77,12.3
2021/4/6,0.59,12.89,-0.45,1,0.59,12.89
2021/4/7,0.26,13.15,-0.09,1,0.26,13.15
2021/4/8,-0.02,13.13,-0.01,1,-0.02,13.13
2021/4/9,0.42,13.55,0.13,1,0.42,13.55
2021/4/12,0.6,14.15,0.15,1,0.6,14.15
2021/4/13,-0.24,13.91,-1.82,1,-0.24,13.91
2021/4/14,0.44,14.35,-1.93,1,0.44,14.35
2021/4/15,-0.67,13.68,-1.5,1,-0.67,13.68
2021/4/16,0.6,14.28,-1.8,1,0.6,14.28
2021/4/19,-0.25,14.03,-0.08,1,-0.25,14.03
2021/4/20,0.6,14.63,1.25,1,0.6,14.63
2021/4/21,-0.01,14.62,1.5,1,-0.01,14.62
2021/4/22,-0.43,14.19,1.32,1,-0.43,14.19
2021/4/23,-0.46,13.73,1.47,1,-0.46,13.73
2021/4/26,0,13.73,0.11,1,0,13.73
2021/4/27,-0.42,13.31,0.04,1,-0.42,13.31
2021/4/28,0.09,13.4,-0.17,1,0.09,13.4
2021/4/29,-0.01,13.39,1.27,1,-0.01,13.39
2021/4/30,0.18,13.57,1.4,1,0.18,13.57
2021/5/6,0.5,14.07,1.28,1,0.5,14.07
2021/5/7,-0.54,13.53,1.93,1,-0.54,13.53
2021/5/10,0.49,14.02,2,1,0.49,14.02
2021/5/11,-0.42,13.6,3.5,1,-0.42,13.6
2021/5/12,0.11,13.71,4.1,1,0.11,13.71
2021/5/13,-0.86,12.85,4.28,1,-0.86,12.85
2021/5/14,0.96,13.81,3.95,1,0.96,13.81
2021/5/17,-0.38,13.43,4.33,1,-0.38,13.43
2021/5/18,1.22,14.65,2.83,1,1.22,14.65
2021/5/19,0.6,15.25,4.49,1,0.6,15.25
2021/5/20,-0.52,14.73,4.66,1,-0.52,14.73
2021/5/21,0.4,15.13,3.19,1,0.4,15.13
