交易日,当日收益率,累计收益率,指数累计,控仓收益_5,控仓累计_5,控仓收益_20,仓位控制_20,控仓累计_20,控仓收益_30,控仓累计_30,控仓收益_60,控仓累计_60
2020-12-23,0.0,0.0,-0.24,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2020-12-24,0.0,0.0,-0.36,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2020-12-25,0.0,0.0,-1.88,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,-1.2999999999999998,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2020-12-29,0.0,0.0,-1.8099999999999998,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2020-12-30,0.0,0.0,-1.8599999999999999,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,-0.8999999999999999,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.11,0.11,0.1100000000000001,0.11,0.11,0.11,1,0.11,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.11,1.6800000000000002,0.0,0.11,0.0,1,0.11,0.0,0.0,0.0,0.0
2021-01-06,-0.08,0.03,2.39,-0.08,0.03,-0.08,1,0.03,-0.08,-0.08,-0.08,-0.08
2021-01-07,-0.24,-0.21,2.04,-0.24,-0.21,-0.24,1,-0.21,-0.24,-0.32,-0.24,-0.32
2021-01-08,0.68,0.47,1.12,0.68,0.4700000000000001,0.0,0,-0.21,0.68,0.36000000000000004,0.68,0.36000000000000004
2021-01-11,-0.66,-0.19,0.6000000000000001,-0.66,-0.18999999999999995,-0.0,0,-0.21,-0.66,-0.3,-0.0,0.36000000000000004
2021-01-12,0.65,0.46,-0.019999999999999907,0.65,0.4600000000000001,0.0,0,-0.21,0.0,-0.3,0.0,0.36000000000000004
2021-01-13,0.44,0.9,0.3800000000000001,0.44,0.9000000000000001,0.0,0,-0.21,0.44,0.14,0.0,0.36000000000000004
2021-01-14,0.18,1.08,-0.6699999999999999,0.0,0.9000000000000001,0.0,0,-0.21,0.0,0.14,0.0,0.36000000000000004
2021-01-15,0.09,1.17,-0.36999999999999994,0.0,0.9000000000000001,0.0,0,-0.21,0.0,0.14,0.0,0.36000000000000004
2021-01-18,0.56,1.73,0.15000000000000008,0.56,1.4600000000000002,0.56,1,0.3500000000000001,0.56,0.7000000000000001,0.0,0.36000000000000004
2021-01-19,0.0,1.73,1.06,0.0,1.4600000000000002,0.0,1,0.3500000000000001,0.0,0.7000000000000001,0.0,0.36000000000000004
2021-01-20,1.21,2.94,1.05,1.21,2.67,1.21,1,1.56,1.21,1.9100000000000001,1.21,1.57
2021-01-21,0.57,3.51,1.23,0.57,3.2399999999999998,0.57,1,2.13,0.57,2.48,0.57,2.14
2021-01-22,-0.76,2.75,1.7,-0.76,2.4799999999999995,-0.76,1,1.3699999999999999,-0.76,1.72,-0.76,1.3800000000000001
2021-01-25,0.01,2.76,1.43,0.01,2.4899999999999993,0.01,1,1.38,0.01,1.73,0.01,1.3900000000000001
2021-01-26,0.06,2.82,1.0499999999999998,0.06,2.5499999999999994,0.0,0,1.38,0.06,1.79,0.06,1.4500000000000002
2021-01-27,-0.01,2.81,0.1399999999999998,-0.0,2.5499999999999994,-0.0,0,1.38,-0.01,1.78,-0.0,1.4500000000000002
2021-01-28,-0.65,2.16,-1.0,-0.0,2.5499999999999994,-0.0,0,1.38,-0.0,1.78,-0.0,1.4500000000000002
2021-01-29,0.06,2.22,-2.26,0.0,2.5499999999999994,0.0,0,1.38,0.0,1.78,0.0,1.4500000000000002
